Country,Year,AQ.WAT.EQIRR.HA.NO
Afghanistan,2009,  3 199
Albania,2009,365
Algeria,2009,570
Andorra,2009,
Angola,2009,80
Antigua and Barbuda,2009,0.1
Argentina,2009,  1 650
Armenia,2009,274
Australia,2009,  2 550
Austria,2009,117
Azerbaijan,2009,  1 433
Bahamas,2009,1
Bahrain,2009,4
Bangladesh,2009,  5 100
Barbados,2009,5
Belarus,2009,131
Belgium,2009,23
Belize,2009,4
Benin,2009,12
Bhutan,2009,28
Bolivia (Plurinational State of),2009,175
Bosnia and Herzegovina,2009,3
Botswana,2009,2
Brazil,2009,  4 500
Brunei Darussalam,2009,1
Bulgaria,2009,102
Burkina Faso,2009,30
Burundi,2009,23
Cambodia,2009,285
Cameroon,2009,29
Canada,2009,855
Cape Verde,2009,3
Central African Republic,2009,1
Chad,2009,30
Chile,2009,  1 900
China,2009,  64 540
Colombia,2009,900
Comoros,2009,0.1
Congo,2009,2
Cook Islands,2009,
Costa Rica,2009,108
Côte d'Ivoire,2009,73
Croatia,2009,31
Cuba,2009,870
Cyprus,2009,46
Czech Republic,2009,21
Democratic People's Republic of Korea,2009,  1 460
Democratic Republic of the Congo,2009,11
Denmark,2009,435
Djibouti,2009,1
Dominica,2009,
Dominican Republic,2009,275
Ecuador,2009,960
Egypt,2009,  3 650
El Salvador,2009,45
Equatorial Guinea,2009,
Eritrea,2009,21
Estonia,2009,4
Ethiopia,2009,290
Faroe Islands,2009,
Fiji,2009,3
Finland,2009,77
France,2009,  2 600
French Guiana,2009,6
Gabon,2009,4
Gambia,2009,2
Georgia,2009,433
Germany,2009,485
Ghana,2009,34
Greece,2009,  1 555
Grenada,2009,2
Guatemala,2009,200
Guinea,2009,95
Guinea-Bissau,2009,25
Guyana,2009,150
Haiti,2009,92
Holy See,2009,
Honduras,2009,80
Hungary,2009,140
Iceland,2009,
India,2009,  66 700
Indonesia,2009,  6 722
Iran (Islamic Republic of),2009,  9 133
Iraq,2009,  3 525
Ireland,2009,
Israel,2009,225
Italy,2009,  3 950
Jamaica,2009,25
Japan,2009,  2 506
Jordan,2009,95
Kazakhstan,2009,  3 556
Kenya,2009,103
Kiribati,2009,
Kuwait,2009,11
Kyrgyzstan,2009,  1 018
Lao People's Democratic Republic,2009,310
Latvia,2009,0.8
Lebanon,2009,90
Lesotho,2009,3
Liberia,2009,3
Libya,2009,470
Liechtenstein,2009,
Lithuania,2009,1
Luxembourg,2009,
Madagascar,2009,  1 086
Malawi,2009,59
Malaysia,2009,365
Maldives,2009,
Mali,2009,236
Malta,2009,3
Marshall Islands,2009,
Mauritania,2009,45
Mauritius,2009,22
Mexico,2009,  6 300
Micronesia (Federated States of),2009,
Monaco,2009,
Mongolia,2009,84
Montenegro,2009,2
Morocco,2009,  1 458
Mozambique,2009,118
Myanmar,2009,  2 275
Namibia,2009,8
Nauru,2009,
Nepal,2009,  1 168
Netherlands,2009,460
New Zealand,2009,619
Nicaragua,2009,61
Niger,2009,74
Nigeria,2009,293
Niue,2009,
Norway,2009,104
Occupied Palestinian Territory,2009,21
Oman,2009,59
Pakistan,2009,  20 200
Palau,2009,
Panama,2009,43
Papua New Guinea,2009,
Paraguay,2009,67
Peru,2009,  1 196
Philippines,2009,  1 540
Poland,2009,116
Portugal,2009,584
Puerto Rico,2009,22
Qatar,2009,13
Republic of Korea,2009,806
Republic of Moldova,2009,228
Romania,2009,  3 157
Russian Federation,2009,  4 300
Rwanda,2009,9
Saint Kitts and Nevis,2009,0.5
Saint Lucia,2009,3
Saint Vincent and the Grenadines,2009,1
Samoa,2009,
San Marino,2009,
Sao Tome and Principe,2009,10
Saudi Arabia,2009,  1 731
Senegal,2009,120
Serbia,2009,89
Seychelles,2009,0.3
Sierra Leone,2009,30
Singapore,2009,
Slovakia,2009,135
Slovenia,2009,10
Solomon Islands,2009,
Somalia,2009,200
South Africa,2009,  1 498
Spain,2009,  3 818
Sri Lanka,2009,570
Sudan and South Sudan,2009,  1 863
Suriname,2009,57
Swaziland,2009,50
Sweden,2009,160
Switzerland,2009,25
Syrian Arab Republic,2009,  1 238
Tajikistan,2009,719
Thailand,2009,  6 415
The former Yugoslav Republic of Macedonia,2009,128
Timor-Leste,2009,35
Togo,2009,7
Tokelau,2009,
Tonga,2009,
Trinidad and Tobago,2009,7
Tunisia,2009,445
Turkey,2009,  5 215
Turkmenistan,2009,  1 800
Tuvalu,2009,
Uganda,2009,9
Ukraine,2009,  2 175
United Arab Emirates,2009,230
United Kingdom,2009,213
United Republic of Tanzania,2009,184
United States of America,2009,  23 000
Uruguay,2009,218
Uzbekistan,2009,  4 223
Vanuatu,2009,
Venezuela (Bolivarian Republic of),2009,580
Viet Nam,2009,  4 600
Yemen,2009,680
Zambia,2009,156
Zimbabwe,2009,174
